word,pos,synonym
เมษายน,n,เม.ย.|เมษา
พฤษภาคม,n,พ.ค.|พฤษภา
มิถุนายน,n,มิ.ย.|มิถุนา
กรกฎาคม,n,ก.ค.|กรกฎา
สิงหาคม,n,ส.ค.|สิงหา
กันยายน,n,ก.ย.|กันยา
ตุลาคม,n,ต.ค.|ตุลา
พฤศจิกายน,n,พ.ย.|พฤศจิกา
ธันวาคม,n,ธ.ค.|ธันวา
กกต.,n,คณะกรรมการการเลือกตั้ง
งู,n,อุรคะ|ภุชงค์|ผณิ|ผณิน|ผณี|ทีฆชาติ|นาคา|พาฬ
นักบวช,n,มุนี|ฤษี|ฤๅษี|ดาบส|นักพรต|นักสิทธิ์|นิครนถ์|บรรพชิต|บาทหลวง|ปริพาชก|ภิกขุ|ภิกษุ|โยคี|หลวงจีน
ไหว้,v,กราบ|คารวะ|คำนับ|ถวายบังคม|นอบนัอม|บูชา|ประณต|ประณม|วันทา|อัญชลี|อัญชุลี|ชุลี
สุนัข,n,จอ|หมา|ศวา|ศวาน|สุวาน|โสณะ
นกยูง,n,มยุรี|มยุระ|มยุเรศ|มยุรา
มหาวิทยาลัยขอนแก่น,n,มข.|มอดินแดง|มหาลัยขอนแก่น|ม.ขอนแก่น
จระเข้,n,ตะเข้|กุมภา|นักกะ|กุมภีล์|นักระ
เต่า,n,จิตรจุล|กูรมะ|กัศยป|จริว
พระพรหม,n,กมลาสน์|กัมลาศ|ครรไลหงส์|จตุรพักตร์|จัตุรพักตร์|ธาดา|ปรเมษฐ์|ประชานาถ|ปิตามหะ|พรหมธาดา|พรหมา|พรหมินทร์|พรหเมนทร์|พรหเมศวร|หงสรถ
พระอิศวร,n,ศิวะ|ศุลี|มหาเทพ|สยมภู|ภูเตศวร|จันทรเศขร|ศังกร
พระนารายณ์,n,วิษณุ|จักรปาณี|จักรี|ธราธร|ธราธาร
พระอินทร์,n,โกสีย์|โกสินทร์|เทพบดี|พันตา|พันเนตร|เพชรปาณี|เพชรายุธ|มฆวัน|มหินท์|มเหนทร์|มัฆวา|มัฆวาน|วชิรหัตถ์|วชิราวุธ|วัชรปาณี|วัชรินทร์|วัชรี|วัชเรนทร์|วาสพ|ศักรินทร์|ศักเรนทร์|สวรรคบดี|สหัสนัยน์|สหัสเนตร|สักกะ|สุชัมบดี|สุรบดี|สุรินทร์|สุเรนทร์|อมรบดี|อมรราช|อมรินทร์|อมเรนทร์|อมเรศ|อมเรศวร
อาหาร,n,กับข้าว|ของกิน|เสบียง|จังหัน|นิตยภัต|บิณฑบาต|ผลาหาร|ภักขะ|ภักษา|ภักษาหาร|ภัตตาหาร|โภชนียะ|ขาทนียะ|ลฆุโภชน์|สมพล|สัมพล
ดู,v,เห็น|เล็ง|แล|มอง|เมิล|เหลียว|จ้อง|ชระเมียง|ทอดตา|ยล|แยงยล|ชะเง้อ
เรือ,n,ดารณี|ตูก|ตรณี|นาเวศ|นาวา|นาวี|เนา|เภตรา
เวลา,n,กาล|คราว|ครั้ง|หน|ครู่
หญ้า,n,เกลียง|ตฤณชาติ|ติณชาติ|ติณ|ตฤณ
เมฆ,n,ปัชชุน|เมฆา|พลาหก|เมฆินทร์|เมฆี|วาริท|วาริธร|วลาหก|อัมพุท|ปโยชนม์|ปโยธร
โศกเศร้า,n,กำสรวล|คร่ำครวญ|ร้องไห้|มลาน|เศร้าโศก
